atc_code,atc_name
C01,CARDIAC THERAPY
C01A,CARDIAC GLYCOSIDES
C01AA,Digitalis glycosides
C01AA01,acetyldigitoxin
C01AA02,acetyldigoxin
C01AA03,digitalis leaves
C01AA04,digitoxin
C01AA05,digoxin
C01AA06,lanatoside C
C01AA07,deslanoside
C01AA08,metildigoxin
C01AA09,gitoformate
C01AA52,"acetyldigoxin, combinations"
C01AB,Scilla glycosides
C01AB01,proscillaridin
C01AB51,"proscillaridin, combinations"
C01AC,Strophanthus glycosides
C01AC01,g-strophanthin
C01AC03,cymarin
C01AX,Other cardiac glycosides
C01AX02,peruvoside
C01B,"ANTIARRHYTHMICS, CLASS I AND III"
C01BA,"Antiarrhythmics, class Ia"
C01BA01,quinidine
C01BA02,procainamide
C01BA03,disopyramide
C01BA04,sparteine
C01BA05,ajmaline
C01BA08,prajmaline
C01BA12,lorajmine
C01BA13,hydroquinidine
C01BA51,"quinidine, combinations excl. psycholeptics"
C01BA71,"quinidine, combinations with psycholeptics"
C01BB,"Antiarrhythmics, class Ib"
C01BB01,lidocaine
C01BB02,mexiletine
C01BB03,tocainide
C01BB04,aprindine
C01BC,"Antiarrhythmics, class Ic"
C01BC03,propafenone
C01BC04,flecainide
C01BC07,lorcainide
C01BC08,encainide
C01BC09,ethacizine
C01BD,"Antiarrhythmics, class III"
C01BD01,amiodarone
C01BD02,bretylium tosilate
C01BD03,bunaftine
C01BD04,dofetilide
C01BD05,ibutilide
C01BD06,tedisamil
C01BD07,dronedarone
C01BG,"Other antiarrhythmics, class I and III"
C01BG01,moracizine
C01BG07,cibenzoline
C01BG11,vernakalant
C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CA,Adrenergic and dopaminergic agents
C01CA01,etilefrine
C01CA02,isoprenaline
C01CA03,norepinephrine
C01CA04,dopamine
C01CA05,norfenefrine
C01CA06,phenylephrine
C01CA07,dobutamine
C01CA08,oxedrine
C01CA09,metaraminol
C01CA10,methoxamine
C01CA11,mephentermine
C01CA12,dimetofrine
C01CA13,prenalterol
C01CA14,dopexamine
C01CA15,gepefrine
C01CA16,ibopamine
C01CA17,midodrine
C01CA18,octopamine
C01CA19,fenoldopam
C01CA21,cafedrine
C01CA22,arbutamine
C01CA23,theodrenaline
C01CA24,epinephrine
C01CA25,amezinium metilsulfate
C01CA26,ephedrine
C01CA27,droxidopa
C01CA28,centhaquine
C01CA30,combinations
C01CA51,"etilefrine, combinations"
C01CE,Phosphodiesterase inhibitors
C01CE01,amrinone
C01CE02,milrinone
C01CE03,enoximone
C01CE04,bucladesine
C01CX,Other cardiac stimulants
C01CX06,angiotensinamide
C01CX07,xamoterol
C01CX08,levosimendan
C01CX09,angiotensin II
C01CX10,omecamtiv mecarbil
C01D,VASODILATORS USED IN CARDIAC DISEASES
C01DA,Organic nitrates
C01DA02,glyceryl trinitrate
C01DA04,methylpropylpropanediol dinitrate
C01DA05,pentaerithrityl tetranitrate
C01DA07,propatylnitrate
C01DA08,isosorbide dinitrate
C01DA09,trolnitrate
C01DA13,eritrityl tetranitrate
C01DA14,isosorbide mononitrate
C01DA20,organic nitrates in combination
C01DA38,tenitramine
C01DA52,"glyceryl trinitrate, combinations"
C01DA54,"methylpropylpropanediol dinitrate, combinations"
C01DA55,"pentaerithrityl tetranitrate, combinations"
C01DA57,"propatylnitrate, combinations"
C01DA58,"isosorbide dinitrate, combinations"
C01DA59,"trolnitrate, combinations"
C01DA63,"eritrityl tetranitrate, combinations"
C01DA70,organic nitrates in combination with psycholeptics
C01DB,Quinolone vasodilators
C01DB01,flosequinan
C01DX,Other vasodilators used in cardiac diseases
C01DX01,itramin tosilate
C01DX02,prenylamine
C01DX03,oxyfedrine
C01DX04,benziodarone
C01DX05,carbocromen
C01DX06,hexobendine
C01DX07,etafenone
C01DX08,heptaminol
C01DX09,imolamine
C01DX10,dilazep
C01DX11,trapidil
C01DX12,molsidomine
C01DX13,efloxate
C01DX14,cinepazet
C01DX15,cloridarol
C01DX16,nicorandil
C01DX18,linsidomine
C01DX19,nesiritide
C01DX21,serelaxin
C01DX22,vericiguat
C01DX51,"itramin tosilate, combinations"
C01DX52,"prenylamine, combinations"
C01DX53,"oxyfedrine, combinations"
C01DX54,"benziodarone, combinations"
C01E,OTHER CARDIAC PREPARATIONS
C01EA,Prostaglandins
C01EA01,alprostadil
C01EB,Other cardiac preparations
C01EB02,camphora
C01EB03,indometacin
C01EB04,crataegus glycosides
C01EB05,creatinolfosfate
C01EB06,fosfocreatine
C01EB07,"fructose 1,6-diphosphate"
C01EB09,ubidecarenone
C01EB10,adenosine
C01EB11,tiracizine
C01EB13,acadesine
C01EB15,trimetazidine
C01EB16,ibuprofen
C01EB17,ivabradine
C01EB18,ranolazine
C01EB21,regadenoson
C01EB22,meldonium
C01EB23,tiazotic acid
C01EB24,mavacamten
C01EB25,acoramidis
C01EX,Other cardiac combination products
C02,ANTIHYPERTENSIVES
C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C02AA,Rauwolfia alkaloids
C02AA01,rescinnamine
C02AA02,reserpine
C02AA03,combinations of rauwolfia alkaloids
C02AA04,"rauwolfia alkaloids, whole root"
C02AA05,deserpidine
C02AA06,methoserpidine
C02AA07,bietaserpine
C02AA52,"reserpine, combinations"
C02AA53,"combinations of rauwolfia alkoloids, combinations"
C02AA57,"bietaserpine, combinations"
C02AB,Methyldopa
C02AB01,methyldopa (levorotatory)
C02AB02,methyldopa (racemic)
C02AC,Imidazoline receptor agonists
C02AC01,clonidine
C02AC02,guanfacine
C02AC04,tolonidine
C02AC05,moxonidine
C02AC06,rilmenidine
C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING"
C02BA,Sulfonium derivatives
C02BA01,trimetaphan
C02BB,Secondary and tertiary amines
C02BB01,mecamylamine
C02BC,Bisquaternary ammonium compounds
C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
C02CA,Alpha-adrenoreceptor antagonists
C02CA01,prazosin
C02CA02,indoramin
C02CA03,trimazosin
C02CA04,doxazosin
C02CA06,urapidil
C02CC,Guanidine derivatives
C02CC01,betanidine
C02CC02,guanethidine
C02CC03,guanoxan
C02CC04,debrisoquine
C02CC05,guanoclor
C02CC06,guanazodine
C02CC07,guanoxabenz
C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
C02DA,Thiazide derivatives
C02DA01,diazoxide
C02DB,Hydrazinophthalazine derivatives
C02DB01,dihydralazine
C02DB02,hydralazine
C02DB03,endralazine
C02DB04,cadralazine
C02DC,Pyrimidine derivatives
C02DC01,minoxidil
C02DD,Nitroferricyanide derivatives
C02DD01,nitroprusside
C02DG,Guanidine derivatives
C02DG01,pinacidil
C02K,OTHER ANTIHYPERTENSIVES
C02KA,"Alkaloids, excl. rauwolfia"
C02KA01,veratrum
C02KB,Tyrosine hydroxylase inhibitors
C02KB01,metirosine
C02KC,MAO inhibitors
C02KC01,pargyline
C02KD,Serotonin antagonists
C02KD01,ketanserin
C02KN,Other antihypertensives
C02KN01,aprocitentan
C02KX,Antihypertensives for pulmonary arterial hypertension
C02KX01,bosentan
C02KX02,ambrisentan
C02KX03,sitaxentan
C02KX04,macitentan
C02KX05,riociguat
C02KX06,sotatercept
C02KX52,ambrisentan and tadalafil
C02KX54,macitentan and tadalafil
C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA01,reserpine and diuretics
C02LA02,rescinnamine and diuretics
C02LA03,deserpidine and diuretics
C02LA04,methoserpidine and diuretics
C02LA07,bietaserpine and diuretics
C02LA08,"rauwolfia alkaloids, whole root and diuretics"
C02LA09,syrosingopine and diuretics
C02LA50,combination of rauwolfia alkaloids and diuretics incl. other combinations
C02LA51,"reserpine and diuretics, combinations with other drugs"
C02LA52,"rescinnamine and diuretics, combinations with other drugs"
C02LA71,"reserpine and diuretics, combinations with psycholeptics"
C02LB,Methyldopa and diuretics in combination
C02LB01,methyldopa (levorotatory) and diuretics
C02LC,Imidazoline receptor agonists in combination with diuretics
C02LC01,clonidine and diuretics
C02LC05,moxonidine and diuretics
C02LC51,"clonidine and diuretics, combinations with other drugs"
C02LE,Alpha-adrenoreceptor antagonists and diuretics
C02LE01,prazosin and diuretics
C02LF,Guanidine derivatives and diuretics
C02LF01,guanethidine and diuretics
C02LG,Hydrazinophthalazine derivatives and diuretics
C02LG01,dihydralazine and diuretics
C02LG02,hydralazine and diuretics
C02LG03,picodralazine and diuretics
C02LG51,"dihydralazine and diuretics, combinations with other drugs"
C02LG73,"picodralazine and diuretics, combinations with psycholeptics"
C02LK,"Alkaloids, excl. rauwolfia, in combination with diuretics"
C02LK01,veratrum and diuretics
C02LL,MAO inhibitors and diuretics
C02LL01,pargyline and diuretics
C02LN,Serotonin antagonists and diuretics
C02LX,Other antihypertensives and diuretics
C02LX01,pinacidil and diuretics
C02N,COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02
C03,DIURETICS
C03A,"LOW-CEILING DIURETICS, THIAZIDES"
C03AA,"Thiazides, plain"
C03AA01,bendroflumethiazide
C03AA02,hydroflumethiazide
C03AA03,hydrochlorothiazide
C03AA04,chlorothiazide
C03AA05,polythiazide
C03AA06,trichlormethiazide
C03AA07,cyclopenthiazide
C03AA08,methyclothiazide
C03AA09,cyclothiazide
C03AA13,mebutizide
C03AB,Thiazides and potassium in combination
C03AB01,bendroflumethiazide and potassium
C03AB02,hydroflumethiazide and potassium
C03AB03,hydrochlorothiazide and potassium
C03AB04,chlorothiazide and potassium
C03AB05,polythiazide and potassium
C03AB06,trichlormethiazide and potassium
